name,price,change
ZEEL,109.46,0.89
SAREGAMA,529.45,-0.01
DEN,38.09,-0.78
DISHTV,8.58,-0.92
NETWORK18,51.79,-0.99
SUNTV,631.65,-1.13
NAZARA,954.4,-1.4
HATHWAY,14.7,-2.33
TIPSMUSIC,681.05,-2.57
PVRINOX,1088.35,-2.94
