name,price,change
VIPIND,441.55,-1.37
RELINFRA,257.9,-1.4
LLOYDSENT,70.36,-1.42
ASKAUTOLTD,515.15,-1.42
PARAS,654.0,-1.42
IMAGICAA,55.34,-1.46
INNOVACAP,860.1,-1.47
HCC,27.39,-1.47
ISGEC,995.75,-1.48
AHLUCONT,931.6,-1.49
IIFLCAPS,299.5,-1.5
EASEMYTRIP,8.54,-1.5
MARKSANS,174.2,-1.53
DCAL,267.6,-1.53
GABRIEL,1243.5,-1.54
EUREKAFORB,572.35,-1.59
MAHSCOOTER,17614.0,-1.66
RALLIS,335.0,-1.66
ZAGGLE,369.0,-1.68
ASTRAMICRO,1013.9,-1.73
THANGAMAYL,2151.9,-1.82
EDELWEISS,112.92,-1.83
FORCEMOT,18021.0,-1.86
SAMHI,212.83,-1.86
SPANDANA,262.19,-1.88
SHRIPISTON,2612.0,-1.88
AURIONPRO,1237.3,-2.01
DATAMATICS,907.1,-2.04
TEGA,2037.7,-2.11
MAHLIFE,364.4,-2.12
MAXESTATES,439.25,-2.22
GOPAL,376.3,-2.27
BLUEJET,682.85,-2.28
UJJIVANSFB,47.24,-2.3
VAIBHAVGBL,233.12,-2.3
SUDARSCHEM,1379.6,-2.31
EMUDHRA,673.2,-2.39
UNIMECH,1046.7,-2.57
SUPRAJIT,446.7,-2.57
PRUDENT,2838.2,-2.7
PGIL,1359.8,-2.85
INDIAGLYCO,833.5,-2.93
NUVOCO,428.35,-3.19
AVANTIFEED,730.8,-3.38
STYLAMIND,1740.4,-3.66
CARTRADE,2363.1,-3.69
SHOPERSTOP,528.05,-4.3
VOLTAMP,7125.0,-5.0
