name,price,change
NTPC,340.55,1.78
NLCINDIA,242.7,1.36
SJVN,97.42,1.31
OIL,446.3,1.27
POWERGRID,295.3,0.75
ONGC,242.99,0.64
COCHINSHIP,1776.4,0.62
NHPC,84.55,0.61
BEL,387.6,-0.17
NBCC,109.17,-0.37
COALINDIA,380.6,-0.79
