name,price,change
BLUESTARCO,2063.75,7.62
NH,1525.9,5.64
WELSPUNLIV,112.11,4.85
NATCOPHARM,804.0,4.32
AVANTIFEED,720.45,4.01
RECLTD,374.55,3.96
VIJAYA,951.65,3.92
PFC,378.35,3.86
BEL,255.21,3.64
BBTC,1715.1,3.43
CUMMINSIND,2811.0,3.42
TVSMOTOR,2297.1,3.22
ULTRACEMCO,10442.55,3.1
ADANIGREEN,798.2,3.07
POLYCAB,4857.05,3.05
VOLTAS,1359.25,2.97
GRASIM,2374.0,2.92
ATUL,5460.9,2.85
APOLLOTYRE,384.9,2.83
EICHERMOT,4903.4,2.72
WIPRO,285.15,2.7
NEWGEN,961.25,2.67
ABB,5064.9,2.62
BHEL,183.85,2.61
METROBRAND,1146.05,2.59
INDIACEM,259.85,2.55
HDFCAMC,3718.45,2.48
SIEMENS,4737.9,2.47
JSWSTEEL,973.1,2.36
CONCORDBIO,1531.05,2.34
LUPIN,1947.5,2.25
APOLLOHOSP,6188.35,2.24
TIINDIA,2517.35,2.24
VEDL,403.6,2.24
VBL,445.5,2.17
BPCL,242.24,2.08
HAL,3152.15,2.07
ITI,251.09,2.05
ESCORTS,2927.6,2.04
PRESTIGE,1149.6,2.04
KEI,3131.85,2.01
FORTIS,625.0,2.01
CHAMBLFERT,544.3,1.99
CROMPTON,327.5,1.98
SUPREMEIND,3393.35,1.93
TRENT,4944.35,1.91
HDFCLIFE,619.45,1.8
SHREECEM,27768.1,1.77
MSUMI,47.8,1.7
LTIM,4743.0,1.65
BHARTIARTL,1595.95,1.64
ADANIPOWER,486.8,1.64
GODREJPROP,1967.4,1.61
INFY,1714.75,1.6
SONATSOFTW,366.65,1.57
JSL,594.0,1.56
UNITDSPR,1303.4,1.48
M&M,2623.05,1.47
MAZDOCK,2162.25,1.46
SOLARINDS,8837.0,1.45
LT,3209.65,1.45
VARROC,427.95,1.45
GLENMARK,1297.35,1.44
KFINTECH,883.1,1.43
NBCC,73.9,1.43
MEDANTA,1165.2,1.35
PAYTM,724.55,1.34
ADANIENSOL,658.95,1.24
ANANDRATHI,4049.95,1.22
HFCL,80.15,1.21
PPLPHARMA,192.17,1.2
KSB,624.4,1.2
HINDPETRO,297.25,1.19
DELHIVERY,252.7,1.14
REDINGTON,226.85,1.13
JINDALSTEL,865.45,1.09
LTF,136.19,1.08
CHOLAFIN,1415.6,1.06
SAIL,106.12,1.05
KOTAKBANK,1922.7,1.04
NCC,176.79,1.02
MUTHOOTFIN,2154.55,1.02
BAJFINANCE,8616.55,1.01
ASTRAZEN,6766.0,1.01
LAURUSLABS,532.2,0.95
NYKAA,160.29,0.94
AIAENG,3170.0,0.92
LALPATHLAB,2331.55,0.91
GODREJIND,1107.6,0.91
GESHIP,818.05,0.91
SHRIRAMFIN,622.7,0.87
ICICIBANK,1214.55,0.87
DALBHARAT,1704.2,0.86
POWERINDIA,11380.0,0.85
MGL,1247.8,0.83
TECHM,1500.0,0.82
NATIONALUM,179.0,0.79
OIL,345.35,0.77
PAGEIND,40828.1,0.77
OBEROIRLTY,1495.4,0.73
FINEORG,3528.4,0.72
LODHA,1139.05,0.72
LEMONTREE,122.58,0.71
AMBUJACEM,468.15,0.69
BHARATFORG,1023.4,0.68
ICICIPRULI,555.3,0.67
HUDCO,166.2,0.64
ASTRAL,1345.75,0.64
TATAELXSI,5445.0,0.63
GODREJAGRO,719.6,0.62
INDHOTEL,720.55,0.62
ABBOTINDIA,30580.55,0.61
RHIM,394.05,0.6
ITC,397.15,0.54
APLLTD,747.55,0.52
CGPOWER,575.6,0.52
CHEMPLASTS,406.7,0.52
INDUSTOWER,325.0,0.51
TCS,3501.0,0.51
SANOFI,5035.5,0.48
GMRAIRPORT,69.8,0.48
JKCEMENT,4410.0,0.47
RAMCOCEM,832.9,0.47
TATAMOTORS,623.55,0.47
DLF,638.5,0.46
GRANULES,463.9,0.45
SBIN,691.8,0.44
SYNGENE,655.2,0.43
HCLTECH,1581.2,0.39
ISEC,805.0,0.39
UTIAMC,944.5,0.38
SIGNATURE,1049.1,0.38
NMDC,62.71,0.37
TATASTEEL,137.65,0.33
ADANIENT,2102.7,0.32
HAVELLS,1425.95,0.29
HONAUT,33800.0,0.29
LTTS,4545.9,0.28
BRITANNIA,4608.25,0.28
CRISIL,4399.35,0.25
JUBLPHARMA,904.95,0.25
SAPPHIRE,311.0,0.24
PNB,87.6,0.24
POWERGRID,251.45,0.24
HAPPSTMNDS,687.85,0.23
PEL,874.3,0.22
UNOMINDA,827.6,0.21
CDSL,1110.15,0.2
FSL,346.7,0.2
CAMS,3148.45,0.17
CESC,131.0,0.16
MPHASIS,2250.75,0.16
DMART,3409.0,0.15
GAIL,156.27,0.15
TRIVENI,349.35,0.14
JYOTHYLAB,322.85,0.14
TITAN,3081.3,0.13
AUROPHARMA,1059.55,0.12
SUNPHARMA,1594.9,0.1
CASTROLIND,212.8,0.08
BERGEPAINT,488.9,0.07
SBILIFE,1431.5,0.07
RRKABEL,890.75,0.06
FEDERALBNK,177.69,0.04
NTPC,311.55,0.03
TATAPOWER,339.3,0.03
FINPIPE,170.8,0.01
TEJASNET,710.7,0.0
ACC,1818.45,-0.01
KIRLOSENG,576.05,-0.01
LICHSGFIN,496.85,-0.01
SYRMA,413.8,-0.01
IOC,113.47,-0.02
MANAPPURAM,200.91,-0.02
JYOTICNC,798.4,-0.03
DRREDDY,1116.0,-0.04
TORNTPHARM,2946.1,-0.07
GPPL,124.86,-0.07
AARTIIND,375.7,-0.08
WESTLIFE,682.5,-0.08
DIVISLAB,5474.95,-0.1
CIPLA,1406.05,-0.1
HINDCOPPER,202.1,-0.11
NAM-INDIA,512.65,-0.13
COFORGE,7352.5,-0.13
IEX,155.71,-0.14
BOSCHLTD,26501.45,-0.16
EQUITASBNK,56.77,-0.18
TATACHEM,775.8,-0.2
CREDITACC,917.2,-0.21
ZOMATO,221.63,-0.21
NHPC,72.74,-0.22
AADHARHFC,379.85,-0.22
GILLETTE,7867.3,-0.23
GLAXO,2469.6,-0.23
CIEINDIA,375.1,-0.25
OFSS,7744.0,-0.26
GRINFRA,1002.45,-0.29
JKLAKSHMI,669.65,-0.29
IRCTC,669.0,-0.29
BIOCON,301.5,-0.31
POLYMED,2028.95,-0.32
BHARTIHEXA,1300.2,-0.32
AAVAS,1680.0,-0.33
PGHH,13496.35,-0.34
MARUTI,11904.45,-0.35
PHOENIXLTD,1542.6,-0.36
CUB,147.26,-0.37
CANFINHOME,575.5,-0.37
BANDHANBNK,140.64,-0.39
HINDZINC,389.25,-0.4
VINATIORGA,1518.4,-0.42
INDIAMART,1956.55,-0.43
PVRINOX,900.0,-0.44
GUJGASLTD,368.7,-0.45
HINDALCO,631.5,-0.45
CARBORUNIV,827.8,-0.46
IPCALAB,1349.0,-0.47
PNBHOUSING,759.75,-0.47
PIDILITIND,2645.2,-0.48
SRF,2781.3,-0.5
NAUKRI,6957.25,-0.51
IFCI,40.88,-0.51
GODREJCP,1000.0,-0.51
PIIND,2998.3,-0.52
ABSLAMC,612.3,-0.52
SHYAMMETL,707.55,-0.53
MRF,104800.0,-0.54
RAINBOW,1232.85,-0.54
EXIDEIND,345.9,-0.55
RATNAMANI,2444.85,-0.56
INDGN,511.15,-0.56
MOTHERSON,117.9,-0.58
BALKRISIND,2599.7,-0.61
TORNTPOWER,1255.2,-0.61
KAJARIACER,847.0,-0.62
M&MFIN,268.9,-0.63
DEVYANI,163.98,-0.63
KPITTECH,1189.8,-0.63
ONGC,223.81,-0.64
NESTLEIND,2175.2,-0.66
DEEPAKNTR,1839.0,-0.66
JBMA,513.0,-0.68
CANBK,80.35,-0.68
BRIGADE,940.25,-0.72
COROMANDEL,1654.95,-0.72
CCL,576.0,-0.72
USHAMART,293.6,-0.73
AXISBANK,1007.75,-0.77
IRFC,111.55,-0.77
SBICARD,832.25,-0.78
TIMKEN,2454.5,-0.8
ZYDUSLIFE,869.55,-0.8
KARURVYSYA,199.48,-0.81
BANKINDIA,94.38,-0.82
GNFC,465.0,-0.82
MARICO,595.4,-0.87
GLAND,1539.25,-0.87
EIHOTEL,316.45,-0.88
HINDUNILVR,2170.9,-0.88
IDFCFIRSTB,57.87,-0.89
ADANIPORTS,1059.8,-0.9
PETRONET,280.75,-0.9
CRAFTSMAN,4461.25,-0.9
TATACONSUM,954.9,-0.91
NETWORK18,40.94,-0.92
ALKEM,4603.0,-0.93
3MINDIA,26050.0,-0.94
SPARC,111.33,-0.94
BALRAMCHIN,440.0,-0.96
DABUR,488.5,-0.97
DIXON,13800.05,-0.97
SUNDARMFIN,4492.5,-1.0
JSWENERGY,459.45,-1.0
THERMAX,3215.95,-1.0
NIACL,140.67,-1.01
IGL,187.55,-1.02
HEROMOTOCO,3643.4,-1.02
BEML,2429.4,-1.03
ABREL,1843.8,-1.04
RCF,115.78,-1.06
VGUARD,306.15,-1.07
UPL,626.2,-1.07
WHIRLPOOL,918.05,-1.08
BAJAJHLDNG,11449.1,-1.08
ICICIGI,1672.2,-1.11
SCI,144.31,-1.12
GODFRYPHLP,5130.4,-1.14
BASF,4236.8,-1.16
SUNTV,554.95,-1.17
AUBANK,559.0,-1.18
ASIANPAINT,2153.85,-1.19
BANKBARODA,194.7,-1.2
MFSL,986.0,-1.21
CHALET,728.1,-1.21
SUMICHEM,454.9,-1.24
CHENNPETRO,445.85,-1.27
KAYNES,4091.0,-1.28
FINCABLES,806.35,-1.29
HDFCBANK,1710.0,-1.29
IRB,42.69,-1.32
RAJESHEXPO,157.12,-1.32
POLICYBZR,1444.15,-1.33
MOTILALOFS,580.65,-1.33
LINDEINDIA,5847.0,-1.35
AMBER,5552.6,-1.35
ROUTE,966.7,-1.37
BLUEDART,5913.95,-1.39
INOXINDIA,945.55,-1.4
BSOFT,418.1,-1.4
MAHSEAMLES,604.15,-1.41
INDIGO,4414.0,-1.41
PTCIL,10060.0,-1.42
AJANTPHARM,2450.3,-1.43
CONCOR,614.75,-1.43
RAILTEL,277.1,-1.44
PERSISTENT,5227.0,-1.45
VTL,374.15,-1.46
SUNDRMFAST,920.0,-1.49
RAYMOND,1274.1,-1.49
METROPOLIS,1560.65,-1.51
BIKAJI,624.6,-1.51
TATACOMM,1332.05,-1.51
ABCAPITAL,153.95,-1.52
ERIS,1164.6,-1.54
SCHAEFFLER,3013.75,-1.55
EIDPARRY,653.75,-1.56
LICI,728.95,-1.56
APLAPOLLO,1416.4,-1.57
ZEEL,91.63,-1.57
BAYERCROP,4654.35,-1.58
ABFRL,238.26,-1.61
JSWINFRA,250.65,-1.61
ASHOKLEY,209.47,-1.63
MAXHEALTH,962.15,-1.63
SONACOMS,485.75,-1.65
UBL,1913.65,-1.67
MMTC,48.45,-1.68
KANSAINER,222.81,-1.7
INDIANB,502.1,-1.7
OLECTRA,1053.3,-1.71
VIPIND,297.35,-1.72
IDEA,7.42,-1.72
KPRMILL,787.7,-1.73
GMDCLTD,237.2,-1.74
BAJAJ-AUTO,7762.75,-1.77
UJJIVANSFB,31.56,-1.77
ASAHIINDIA,604.75,-1.78
RADICO,2036.05,-1.78
AEGISLOG,746.55,-1.8
RTNINDIA,40.29,-1.8
SCHNEIDER,601.0,-1.81
DOMS,2363.1,-1.81
RBLBANK,155.48,-1.81
IRCON,139.1,-1.81
GICRE,362.2,-1.82
TVSSCS,135.16,-1.85
INDUSINDBK,971.6,-1.87
KNRCON,216.24,-1.89
ELGIEQUIP,420.0,-1.89
YESBANK,16.43,-1.91
TATATECH,658.9,-1.91
BAJAJFINSV,1836.45,-1.91
HSCL,400.3,-1.95
SWANENERGY,399.95,-1.97
BALAMINES,1267.6,-1.99
UNIONBANK,109.86,-2.0
CERA,5185.0,-2.01
360ONE,978.25,-2.01
SJVN,82.39,-2.04
QUESS,585.0,-2.05
HBLENGINE,424.15,-2.07
ATGL,545.6,-2.07
TRIDENT,25.25,-2.09
PATANJALI,1723.15,-2.12
TATAINVEST,5936.25,-2.13
NLCINDIA,202.6,-2.14
CYIENT,1239.2,-2.21
AWL,240.7,-2.21
IDBI,67.7,-2.22
APTUS,300.65,-2.24
DBREALTY,120.66,-2.26
COLPAL,2408.6,-2.27
ZFCVINDIA,10693.1,-2.27
GSFC,163.65,-2.32
NAVINFLUOR,3674.6,-2.33
CELLO,540.95,-2.34
ALKYLAMINE,1553.65,-2.34
NSLNISP,34.57,-2.34
BDL,952.45,-2.35
AFFLE,1367.05,-2.37
SAREGAMA,433.1,-2.4
SBFC,86.15,-2.4
ENGINERSIN,146.57,-2.4
KIMS,508.5,-2.41
COCHINSHIP,1237.65,-2.44
TANLA,425.65,-2.44
CHOLAHLDNG,1601.7,-2.45
INTELLECT,649.4,-2.45
SOBHA,1171.0,-2.47
NETWEB,1418.0,-2.47
BATAINDIA,1190.85,-2.48
BLS,330.65,-2.48
GRSE,1224.55,-2.5
IIFL,294.3,-2.52
RVNL,323.95,-2.54
JPPOWER,13.02,-2.54
JWL,282.7,-2.57
PRAJIND,475.85,-2.58
JMFINANCIL,89.9,-2.59
JIOFIN,202.22,-2.6
MAHLIFE,308.45,-2.65
KEC,668.2,-2.66
CAMPUS,253.6,-2.7
TBOTEK,1168.25,-2.71
CGCL,155.38,-2.72
EMCURE,954.9,-2.73
ALOKINDS,14.94,-2.73
PNCINFRA,251.85,-2.74
J&KBANK,92.2,-2.74
STARHEALTH,365.0,-2.74
ENDURANCE,1717.25,-2.75
KALYANKJIL,449.55,-2.75
TITAGARH,677.85,-2.75
TRITURBINE,472.5,-2.78
CEATLTD,2462.15,-2.78
GSPL,264.65,-2.79
RELIANCE,1166.5,-2.8
APARINDS,5634.95,-2.8
JUBLFOOD,608.55,-2.8
GVT&D,1299.9,-2.87
RENUKA,26.72,-2.87
GPIL,151.24,-2.9
POONAWALLA,273.15,-2.9
COALINDIA,358.5,-2.94
GRINDWELL,1395.55,-2.94
DEEPAKFERT,925.0,-2.95
SUZLON,48.23,-2.98
SAMMAANCAP,107.09,-3.0
HEG,347.6,-3.01
HOMEFIRST,987.0,-3.11
LLOYDSME,989.25,-3.12
HONASA,208.7,-3.12
SKFINDIA,3574.85,-3.13
PCBL,346.7,-3.16
MINDACORP,465.05,-3.18
ASTERDM,390.15,-3.18
ACE,1016.8,-3.19
GAEL,100.45,-3.22
AKUMS,440.7,-3.25
NUVOCO,303.25,-3.25
RITES,197.85,-3.28
CENTURYPLY,697.5,-3.32
EMAMILTD,512.25,-3.34
PFIZER,3915.45,-3.34
ACI,486.0,-3.43
ARE&M,945.3,-3.46
MAHABANK,44.77,-3.53
RKFORGE,624.5,-3.63
ZENSARTECH,711.4,-3.66
EASEMYTRIP,11.29,-3.67
MANYAVAR,812.15,-3.68
BSE,4462.0,-3.71
KPIL,846.45,-3.72
MANKIND,2205.2,-3.73
LATENTVIEW,368.95,-3.73
JBCHEPHARM,1582.05,-3.79
GRAPHITE,376.3,-3.87
DATAPATTNS,1381.0,-3.95
GODIGIT,292.6,-4.02
CENTRALBK,42.2,-4.05
JUSTDIAL,805.05,-4.19
IOB,41.7,-4.2
FIVESTAR,729.4,-4.22
MASTEK,2130.2,-4.29
CLEAN,1141.65,-4.32
MCX,4775.4,-4.33
TECHNOE,931.7,-4.35
UCOBANK,34.77,-4.4
ELECON,395.45,-4.53
ANANTRAJ,441.95,-4.6
JINDALSAW,235.0,-4.65
MRPL,100.85,-4.68
BIRLACORPN,927.0,-4.69
CAPLIPOINT,1736.0,-4.75
TTML,56.68,-4.77
NUVAMA,5138.5,-4.85
MAPMYINDIA,1581.85,-4.98
SWSOLAR,242.5,-5.07
JKTYRE,251.0,-5.23
INOXWIND,142.25,-5.29
IREDA,147.7,-5.33
JUBLINGREA,579.85,-5.9
ECLERX,2663.85,-6.0
SUVENPHAR,1137.7,-6.34
FLUOROCHEM,3349.95,-6.55
KIRLOSBROS,1490.45,-6.63
WELCORP,686.85,-6.79
ANGELONE,2016.95,-7.02
FACT,638.0,-7.76
