name,price,change
SAIL,110.71,4.69
TATASTEEL,137.15,3.68
APLAPOLLO,1377.4,2.79
JINDALSTEL,849.95,2.48
WELCORP,796.25,2.4
HINDCOPPER,229.99,2.39
JSWSTEEL,977.85,2.24
NMDC,64.02,1.76
NATIONALUM,192.65,1.57
HINDALCO,606.0,1.19
VEDL,426.7,1.14
JSL,603.6,0.07
RATNAMANI,2548.9,0.07
HINDZINC,415.85,-1.07
ADANIENT,2301.35,-2.21
