name,price,change
GRAVITA,1793.5,7.58
WOCKPHARMA,1362.5,6.32
LATENTVIEW,474.2,5.77
INTELLECT,1193.3,5.28
NAVINFLUOR,5975.0,5.06
SBFC,119.82,5.03
HFCL,77.0,4.75
NSLNISP,45.08,4.72
LALPATHLAB,3281.5,4.66
CHOLAHLDNG,2000.4,4.59
KARURVYSYA,254.03,4.47
NEULANDLAB,17100.0,3.81
ZENTEC,1407.2,3.68
MCX,9573.5,3.57
FORCEMOT,18272.0,3.5
HOMEFIRST,1236.9,3.5
MINDACORP,582.8,3.39
JUBLPHARMA,1135.7,3.15
VGUARD,373.5,3.11
SARDAEN,545.45,3.01
CRAFTSMAN,6879.0,2.98
GLAND,1986.2,2.97
AGARWALEYE,521.2,2.95
BLUEJET,675.4,2.89
APLLTD,922.05,2.75
TITAGARH,908.55,2.71
AEGISLOG,770.25,2.68
IIFL,548.5,2.6
AARTIIND,389.25,2.45
CUB,234.19,2.41
VTL,446.2,2.33
SCHNEIDER,855.85,2.31
VIJAYA,1011.1,2.27
ABFRL,83.47,2.24
LAURUSLABS,974.8,2.22
ANGELONE,2546.0,2.15
IKS,1680.1,2.08
ALKYLAMINE,1898.3,2.06
JKTYRE,440.9,2.05
J&KBANK,108.29,2.04
BLS,321.0,2.03
USHAMART,474.2,2.01
JMFINANCIL,167.3,2.0
MRPL,169.64,1.95
ABLBL,136.17,1.92
RADICO,3190.0,1.87
ZFCVINDIA,12653.0,1.84
SIGNATURE,1103.9,1.81
METROPOLIS,2006.0,1.81
MAHSEAMLES,577.45,1.66
ATUL,5858.0,1.66
CHALET,965.45,1.65
JBCHEPHARM,1710.1,1.65
ASTRAZEN,9711.0,1.63
KIRLOSENG,1016.0,1.61
DBREALTY,151.25,1.59
FINCABLES,798.0,1.54
WELSPUNLIV,131.61,1.51
NH,1783.6,1.49
TECHNOE,1338.7,1.49
SHYAMMETL,890.85,1.48
CCL,872.15,1.44
GMDCLTD,602.8,1.43
NCC,215.37,1.41
RCF,151.38,1.41
TEJASNET,540.85,1.38
CENTRALBK,40.02,1.37
EIHOTEL,395.0,1.33
SOBHA,1640.1,1.33
IGIL,342.1,1.3
CONCORDBIO,1462.6,1.3
CLEAN,1021.9,1.3
GODIGIT,363.3,1.3
JYOTICNC,875.0,1.27
CHAMBLFERT,486.9,1.26
CESC,182.15,1.22
PNBHOUSING,940.0,1.22
PPLPHARMA,202.01,1.19
NATCOPHARM,829.55,1.18
DELHIVERY,471.2,1.13
LEMONTREE,167.12,1.12
ERIS,1608.9,1.08
CDSL,1604.1,1.06
GRANULES,571.6,1.06
KPIL,1269.6,1.05
SAMMAANCAP,190.57,1.05
ONESOURCE,1871.7,0.95
SONATSOFTW,373.35,0.95
BANDHANBNK,158.0,0.92
BRIGADE,1047.0,0.9
AKZOINDIA,3269.9,0.87
CARBORUNIV,908.3,0.87
INOXINDIA,1197.1,0.85
PGEL,575.8,0.85
TBOTEK,1495.7,0.84
SUNDRMFAST,957.4,0.84
FIVESTAR,658.25,0.84
RITES,247.53,0.84
SWANCORP,473.4,0.81
BASF,4447.5,0.8
INOXWIND,156.34,0.78
AFCONS,451.5,0.77
TRIDENT,28.85,0.77
